A,B,C,D
2339.93,1573.83,-57.72,-246.38
2299.57,1504.86,-121.1,-315.15
2334.67,1478.21,-188.44,-342.98
2435.82,1569.1,-77.8,-273.46
2355.31,1521.5,-66.61,-272.48
2315.22,1495.81,-165.02,-330.55
2309.88,1471.4,-107.71,-255.68
2307.07,1426.05,-32.65,-214.01
2203.43,1306.09,-145.94,-298.63
2331.41,1403.11,-133.72,-240.72
2251.66,1422.6,-34.87,-220.6
2266.52,1327.86,-82.09,-270.94
2166.13,1310.6,-163.28,-294.05
2199,1301.97,-40.43,-192.81
2187.04,1139.35,-53.23,-221.17
2137.56,1195.96,-139.8,-270.92
2188.38,1289.22,-75.56,-194.53
2176.3,1182.54,-5.36,-172.81
2000.51,1088.35,-115.63,-268.17
2081.87,1104.05,-104.96,-242.53
2065.88,1058.43,-7.77,-162.7
2052.14,1044.77,-59.51,-217.06
2050.57,1062.69,-133.33,-259.1
2138.54,1105.78,-9.12,-148.34
1886.46,964.1,-7.28,-158.47
1888.13,898.17,-107.62,-217.03
2052.26,978.57,-45.21,-144.73
1982.64,865.18,15.92,-122.15
1854.29,822.88,-93.43,-193.09
1968.39,910.14,-91.27,-170.94
1975.05,894.94,33.66,-106.64
1819.34,754.15,-29.81,-149.86
1768.59,687.38,-94.5,-179.68
1873.64,750.91,28.3,-60.13
1756.75,623.16,29.27,-122.9
1772.78,654.23,-57.46,-180.12
1821.42,729.21,11.99,-103.63
1684.52,543.06,78,-75.47
1562.58,449.6,-31.06,-126.34
1632.37,468.1,-32.38,-164.58
1650.33,451.08,75.07,-59.43
1506.39,320.34,81.53,-68.31
1466.82,283.25,4.72,-117.76
1483.78,234.56,155.96,-1.69
1325.61,64.92,189.89,8.88
1228.43,18.11,109.74,-37.76
1173.33,33.84,176.12,31.88
973.26,-77.82,259.75,85.19
727.91,-201.41,182.46,28.23
645.17,-151.68,195.24,26.75
487.78,-200.08,303.41,110.35
251.51,-311.17,272.46,79.87
113.82,-295.62,213.2,42.61
13.07,-287.27,312.49,156.05
-187.1,-400.95,344.98,148.24
-312.7,-451.72,211.64,78.79
-343.39,-408.08,265.11,152.9
-464.01,-478.29,359.3,211.64
-594.89,-562.34,226.97,131.33
-611.53,-516.56,188.89,120.97
-666.3,-547.54,285.97,219.89
-783.25,-635.71,221.29,131.34
-786.06,-602.71,131.41,93.46
-745.7,-565.17,230.67,195.44
-839.49,-646.75,248.85,196.17
-899.29,-666.26,90.56,100.57
-854.12,-593.87,128.89,142.23
-920.36,-649.33,219.02,177.2
-984.19,-692.25,97.08,105.34
-957.55,-637.11,67.35,101
-964.42,-638.43,203.91,187.09
-1054.2,-706.66,144.02,133.34
-1035.68,-667.53,29.73,80.72
-993.96,-620.23,158.41,185.93
-1069.48,-688.73,164.55,173.14
-1084.6,-689.12,32.82,83.37
-1017.01,-609.85,78.12,145.29
-1039.42,-630.91,181.95,200.28
-1100.25,-684.22,49.83,95.29
-1039.24,-595.66,26.06,151.59
-1029.29,-584.39,164.85,174.09
-1112.64,-659.31,97.23,109.75
-1089.8,-615.65,-3.47,69.64
-1031.74,-561.56,113.72,154
-1078.7,-615.95,142.41,149.83
-1112.6,-628.76,-1.6,51.95
-1035.9,-541.74,59.28,108.87
-1055.56,-581.22,160.42,159.53
-1114.53,-632.8,41.5,63.36
-1047.27,-543.96,15.58,76.04
-1028.05,-532.94,144.76,159.17
-1088.9,-604.03,86.85,99.78
-1067.98,-566.65,-17.97,49.44
-1019.94,-516.8,90.14,131.39
-1071.49,-574.96,113.49,125.65
-1081.04,-574.09,-25.26,33.68
-994.25,-481.12,39.13,99.01
-1018.95,-525.4,128.62,134.57
-1072.71,-587.9,0.32,42.36
-1006.94,-502.59,-21.35,44.19
-981.49,-477.45,112.07,137.49
-1049.8,-550.73,51.84,79.3
-1018.72,-509.31,-61.68,1.92
-948.38,-447.88,58.24,94.98
-1003.73,-520.58,87.99,92.59
-1016.21,-525.12,-49.82,1.95
-938.51,-437.03,5.4,64.41
-961.81,-477.52,99.51,102.09
-1015.91,-534.37,-20.47,13.04
-931.14,-441.68,-38.23,33.55
-912.57,-431.93,88.78,111.42
-980.84,-503.02,27.02,40.66
-944.65,-442.85,-72.27,-5.47
-887.74,-384.22,47.9,87.28
-939.2,-457.59,74.48,77.08
-952.68,-466.33,-61.18,-2.74
-869.81,-386.49,-4.41,55.37
-887.66,-416.3,95.36,100.83
-941.65,-469.01,-36.43,1.98
-869.43,-394.93,-53.94,16.31
-846.16,-393.67,83.67,101.66
-917.67,-449.38,16.19,35.58
-887.43,-403.67,-79.72,-17.31
-816.24,-346.17,38.55,75.18
-862.1,-411.24,68.55,86.45
-873.49,-413.98,-68.99,4.06
-784.4,-328.19,-6.32,75.9
-805.4,-372.24,102.76,126.34
-863.57,-426.22,-31.24,17.2
-793.94,-355,-66.65,11.1
-765.25,-335.09,64.88,89.6
-831.72,-407.04,8.04,21.52
-800.42,-367.21,-95.87,-20.65
-739.89,-302.91,27,68.03
-799.43,-375.43,42.44,55.85
-802.74,-382.03,-82.66,-24.08
-725.73,-297.19,-28.86,34.37
-754.55,-337.73,72.63,72.41
-807.09,-381.03,-56.01,-24.15
-739.81,-310.26,-75.84,-15.93
-707.19,-282.55,58.58,74.46
-774.69,-357.01,4.25,16.33
-729.7,-315.38,-96.05,-28.6
-682.1,-267.67,17.53,53.26
-742.96,-344.72,33.66,41.73
-751.99,-350.61,-95.13,-37.72
-668.75,-255.07,-42.83,20.11
-685.32,-302.18,61.68,65.38
-736.49,-350.57,-55.37,-21.88
-673.11,-271.4,-90.52,-14.44
-650.11,-266.27,49.79,65.41
-588.43,-198.86,170.03,154.86
-643.49,-260.49,188.95,147.47
-652.37,-263.45,62.36,62.83
-575.26,-189.21,117.02,120.47
-600.3,-226.05,218.46,164.03
-652.91,-279.66,98.13,75.11
-584.07,-208.07,68.47,81.62
-556.33,-184.27,212.43,169.19
-616.96,-255.77,157.4,115.75
-594.22,-249.29,46.07,52.77
-527.73,-171.31,167.95,145.85
-586.1,-229.2,202.73,154.51
-597.83,-247.72,60.85,68.33
-513.61,-171.22,107.37,114.26
-541.88,-201.36,211.5,160.79
-591.68,-255.85,95.04,77.02
-529.35,-179.38,66.39,90.18
-506.46,-171.91,194.1,171.21
-577.42,-252.12,145.65,107.52
-553.47,-215.09,34,50.94
-480.7,-143.18,154.38,141.86
-532.08,-213.4,190.42,137.18
-555.93,-222.43,48.54,36.89
-484.38,-153.12,98.27,90.32
-505,-184,201.73,138.88
-547.52,-219.51,91.77,55.65
-483.24,-154.44,62.42,62.36
-467.49,-156.76,196.01,142.54
-535.47,-225.06,135.18,86.43
-498.77,-174.78,35.44,34.46
-523.55,-180.6,-93.07,-55.39
-439.05,-102,-37.35,-0.14
-452.98,-126.71,61.66,51.3
-507.8,-181.37,-51.92,-39.43
-439.87,-108.44,-80.15,-36.26
-407.1,-81.75,61.01,59
-480.48,-164.02,0.06,-8.09
-452.02,-124.98,-98.06,-54.65
-401.83,-78.87,17.93,21.73
-462.95,-151.84,43.97,17.37
-473.25,-152.87,-88.3,-64.68
-397.56,-79.96,-41.69,-13.65
-423.35,-114.64,52.91,38.86
-473.43,-166.78,-59.13,-52.8
-408.27,-86,-81.49,-38.97
-378.54,-68.86,55.82,46.25
-454.63,-154.77,-4.01,-14.59
-424.82,-119.02,-104.46,-66.64
-357.81,-55.14,8.08,24.1
-416.65,-121.34,37.46,18.77
-434.51,-123.52,-88.99,-64.78
-360.96,-49.74,-42.34,-12.31
-375.8,-79.79,61.7,38.6
-430.67,-129.2,-53.05,-50.26
-379.17,-68.63,-88.29,-52.62
-340.62,-50.34,57.44,40.7
-421.59,-132.39,-0.64,-17.1
-376.63,-87.68,-98.37,-60.87
-319.45,-49.12,17.91,28.83
-377.76,-106.31,42.42,25.71
-402.06,-103.37,-88.64,-68.38
-331.04,-27.1,-40.34,-15.66
-342.97,-59.36,67.95,45.51
-400.85,-122.08,-55.4,-47.43
-335.3,-47.09,-78.43,-38.72
-310.07,-35.42,48.63,41.84
-382.37,-110.52,-1.38,-20.83
-357.86,-86.28,-98.54,-66.73
-300.11,-24.48,13.73,16.6
-354.39,-84.16,44.66,14.4
-376.85,-103.69,-88.16,-76.06
-304.62,-29.45,-41.46,-29.29
-324.46,-51.7,67.25,28.2
-378.48,-108.3,-51.67,-64
-322.34,-46.34,-86.95,-65.22
-296.6,-39.88,50.74,25.48
-370.05,-108.05,-0.42,-27.8
-339.08,-64.8,-104.92,-77.22
-268.72,-5.72,12.66,3.49
-325.18,-78.06,37.91,-3.97
-348.48,-93.74,-96.71,-91.51
-272.74,-8.88,-48.19,-38.58
-281.29,-37.89,61.01,19.56
-347.4,-94.17,-49.64,-66.56
-294.17,-25.81,-90.01,-63.71
-268.48,-19.64,49.82,21.94
-336.8,-82.36,-5.8,-29.88
-305.71,-62.61,-106.56,-85.32
-258.74,-11.2,6.21,11.27
-311,-61.89,36.15,-1.17
-317.51,-63.12,-103.33,-96.08
-248.2,15.76,-50.59,-39.4
-268.64,-19.8,51.71,12.35
-328.11,-79.54,-59.76,-71.31
-273.98,-20.65,-85.94,-62.15
-259.84,-5.77,50.61,25.12
-336.32,-85.51,-11.22,-42.39
-295.91,-48.26,-113.87,-99.99
-227.11,14.8,11.51,0.39
-301.66,-59.79,32.4,-7.71
-324.29,-70.82,-96.16,-97.95
-242.41,7.98,-46.31,-44.18
-266.36,-36.84,54.7,10.35
-334.86,-100.69,-64.49,-74.63
-260.98,-16.38,-88.36,-72.93
-243.48,-7.25,45.25,17.29
-303.02,-80.1,0.71,-34.74
-278.07,-36.74,-96.27,-84.01
-232.26,7.76,7.29,-5.14
-284.69,-58.42,40.44,-5.01
-298.03,-64.19,-90.16,-81.78
-231.99,18.93,-43.84,-27.88
-238.35,-19.23,71.7,30.9
-291.46,-74.48,-42.29,-61.06
-222.77,3.11,-75.26,-51.46
-198.56,13.88,66.41,45.16
-281.91,-76.58,5.12,-26.43
-259.93,-33.97,-102.47,-92.03
-200.58,17.61,10.42,-10.4
-252.68,-44.03,44.28,-17.71
-288.52,-59.95,-103.36,-109.95
-207.6,13.24,-48.5,-42.06
-243.51,-77.2,36.3,-0.3
-295.76,-133.23,-72.08,-94.7
-241.24,-74,-113.64,-102.25
-232.83,-60.45,24.24,-6.26
-288.04,-123.19,-15.23,-48.82
-274.04,-92.1,-119.84,-107.22
-213.15,-40.35,-8.28,-22.77
-272.03,-116.46,22.87,-25.2
-300.41,-140.68,-114.67,-117.63
-221.01,-46.86,-55.66,-52.65
-245.87,-81.52,41.69,-5.68
-292.7,-134.84,-61.23,-88.07
-239.66,-66.2,-101.17,-91.65
-213.57,-53.79,35.58,-3.4
-276.31,-127.2,-12.72,-50.94
-259.15,-101.11,-117.05,-110.69
-198.87,-40.61,3.13,-15.9
-257.64,-113.04,30.36,-26.54
-267,-116.01,-105.81,-112.99
-207.95,-50.59,-56.76,-57.83
-231.21,-82.59,41.86,-1.39
-284.55,-135.2,-65.95,-89.9
-224.76,-61.19,-98.29,-81.14
-195.74,-49.26,39.81,4.85
-271.51,-137.76,-17.63,-56.83
-247.13,-102.02,-117.98,-110.22
-181.24,-32.87,1.75,-17.76
-246.94,-119.74,25.13,-13.85
-264.45,-121.86,-108.57,-95.14
-185.27,-39.87,-57.89,-37.16
-210.53,-72.49,35.83,11.42
-270.49,-134.15,-67.41,-63.97
-210.69,-71.52,-101.85,-63.44
-186.86,-47.22,31.41,22.1
-261.62,-122.36,-20.81,-32.26
-239.15,-89.05,-120.39,-80.51
-175.57,-34.02,-14.81,1.35
-228.85,-101.1,26.4,-8.71
-256.19,-121.43,-108.41,-94.56
-172.92,-36.33,-58.47,-36.74
-195.12,-68.8,58.66,21.95
-258.15,-130.63,-56.92,-69.47
-194.96,-59.42,-99.47,-76.2
-170.27,-48.21,37.11,4.62
-242.26,-132.2,-9.7,-45.76
-223.3,-90.86,-112.2,-93.91
-164.88,-35.57,-6.47,-11.89
-231.93,-120.29,26.18,-18.99
-246.75,-122.4,-107.81,-100.99
-180.53,-32.24,-62.61,-47.52
-195.1,-59.25,44.57,11.41
-251.33,-117.38,-65.52,-77.58
-190.5,-53.11,-103.1,-85.84
-165.75,-43.96,30.99,1.53
-253.22,-123.44,-19.03,-52.59
-231.8,-95.05,-131.05,-108.16
-148.51,-29.05,-2.18,-7.39
-209.46,-99.6,27.32,-21.26
-235.94,-100.15,-106.49,-108.06
-161.83,-32.1,-66.56,-60.54
-182.56,-60.22,49.56,-3.17
-240.82,-117.88,-70.02,-93.43
-182.97,-44.37,-107.37,-93.4
-155.89,-25.23,31.69,3.58
-220.05,-104.23,-22.39,-50.78
-192.56,-63.34,-131.79,-103.27
-130.26,-6.04,-10.05,-13.43
-202.72,-88.06,30.85,-15.69
-243.09,-115.27,-104.95,-104.06
-147.63,2.17,-69.18,-63.04
-145.3,-20.35,45.3,-8.91
-218.77,-96.62,-67.48,-94.95
-139.89,-8,-98.44,-93.2
-113.1,14.42,29.74,-6.4
-195.8,-76.05,-17.36,-62.94
-185.86,-49.16,-124.96,-116.97
-125.39,4.03,-15.52,-26.99
-185.34,-65.88,24.33,-29.84
-208.25,-80.33,-114.15,-118.02
-137.05,0.04,-63.48,-57.85
-156.31,-27.11,47.4,0.01
-218.17,-104.51,-66.41,-87.08
-155.96,-28.2,-107.44,-85.37
-135.48,-11.64,39.31,3.98
-204.84,-95.79,-17.84,-49.59
-181.75,-58.37,-124.1,-104.51
-124.95,-9.09,-10.81,-23.29
-178.61,-66.13,27.34,-23.8
-204.66,-72.54,-100.12,-107.28
-135.94,-4.63,-60.36,-52.3
-148.86,-38.69,53.19,4.86
-221.65,-101.51,-60.17,-88.65
-154.04,-19.31,-103.01,-81.2
-128.21,-7.6,38.2,7.41
-200.44,-97.79,-18.52,-55.57
-174.65,-60.26,-117.23,-108.74
-120.54,-7.93,-12.67,-23.45
-180.46,-81.07,18.21,-29.35
-208.8,-98.75,-113.75,-112.13
-127.89,-11.91,-57.38,-52.3
-143.34,-48.66,41,-7.27
-199.7,-103.55,-60.29,-89.44
-147.83,-39.11,-98.86,-92.23
-128.68,-22.9,34.64,-4.06
-204.07,-105.4,-10.88,-57.54
-168,-65.47,-113.03,-109.58
-111.94,-16.31,-10.52,-28.72
-162.34,-83.15,28.48,-26.3
-185.85,-93.22,-102.03,-106.94
-122.99,-18.39,-63.68,-61.84
-139.45,-40.67,52.13,-0.62
-203.87,-115.75,-58.88,-90.22
-147.85,-47.59,-103.19,-97.62
-117.92,-28.68,35.83,-1.31
-197.51,-102.47,-15.05,-64.4
-163.36,-56.6,-114.98,-106.27
-118.68,-11.25,-8.23,-28.22
-169.47,-81.33,31.37,-22.91
-194.23,-96.22,-112.28,-111.83
-120.68,-10.28,-60.96,-61.95
-140.06,-51.85,36.21,-12.39
-198.22,-117.8,-63.06,-92.5
-144.29,-41.33,-102.92,-100.67
-119.98,-31.19,30.95,-9.06
-192.23,-101.54,-12.06,-56.4
-170.27,-76.28,-119.9,-107.61
-114.52,-19.32,-10.86,-22.51
-161.01,-88.59,27.67,-22.01
-174.19,-93.61,-103.34,-104.4
-115.21,-26.14,-63.64,-57.11
-131.51,-58.05,45.14,0.63
-188,-105.07,-64.68,-87.93
-136.54,-33,-103.65,-83.62
-97.4,-14.62,47.77,25.19
-157.5,-90.75,7.1,-21.32
-141.43,-63.59,-112.73,-85.45
-99.52,-10.17,-11.9,-18.88
-163.96,-82.31,27.72,-30.93
-191.2,-105.53,-118.51,-121.26
-108.92,-16.8,-63.14,-61.58
-133.2,-49.7,35.27,-16.43
-202.01,-110.07,-66.04,-87.73
-135.47,-41.78,-113.57,-89.61
-93.77,-3.99,35.04,-0.43
-169.35,-83.05,-8.27,-57.62
-152.14,-68.42,-122.42,-114.19
-92.68,-13.57,-12.77,-32.21
-147.43,-73.31,36.25,-25.62
-181.98,-95.96,-100.32,-116.72
-103.94,-8.45,-55.28,-63.16
-129.3,-54.1,48.65,-8.32
-181.23,-110.31,-53.4,-86.17
-138.48,-38.53,-102.02,-94.03
-108.26,-26.69,41.08,0.15
-187.97,-101.38,-3.43,-51.55
-176.34,-65.08,-111.13,-109.35
-114.43,-4.26,-0.34,-18.15
-147.77,-84.21,42.41,-19.48
-165.14,-93.75,-104.54,-115.68
-86.8,-2.45,-51.12,-48.22
-121.11,-53.13,40.86,-4.58
-187.19,-110.09,-66,-81.9
-131.34,-40.48,-103.31,-90.09
-96.11,-14.6,36.25,0.98
-159.29,-91.51,-10.08,-48.74
-128.85,-63.04,-113.23,-108.61
-75.82,-2.31,-5.91,-29.38
-135.07,-62.51,37.23,-21.67
-176.23,-90.8,-113.83,-112.39
-74.17,14.09,-47.45,-39.14
-108.63,-32.1,48.64,3.59
-161.01,-80.64,-55.81,-76.59
-103.04,-13.08,-98.7,-77.5
-17.62,57.52,50.03,27.16
-82.62,-6.31,-1.38,-28.59
-23.28,56.92,-105.29,-84.27
65.79,147.81,-1.07,-3.03
45.67,82.03,34.02,-4.7
98.45,154.38,-89.17,-79.82
190.43,238.63,-48.96,-30
187.67,264.15,60.47,12.36
161.91,235.01,-43.2,-58.97
201.47,285.26,-100.88,-87.05
270.15,324.54,20.07,-5.84
168.88,235.31,-23.25,-52.75
270.72,312.98,-156.82,-121.03
372.22,371.7,-69.16,-43.84
342.82,314.33,-41.33,-31.85
530.64,341.69,-185.11,-117.78
687.55,563.6,-176.83,-110.28
810.33,539.44,-56.17,-54.25
877.5,578.47,-177.34,-168.85
1059.31,761.83,-257.14,-175.72
1158.05,861.1,-117.04,-77.47
1230.92,855.75,-198.73,-168.22
1281.58,1022.33,-271.46,-254.09
1453.81,1023.97,-173.37,-177.27
1393.22,967.19,-147.74,-229.32
1491.22,1051.33,-164.38,-279.59
1691.51,1101.98,-131.17,-185.44
1789.04,1106.05,-71.71,-158.59
1833.51,1079.12,-199.85,-254.89
1917.18,1081.65,-233.95,-306.83
2029.35,1142.02,-107.78,-249.37
1996.53,1121.25,-125.72,-275.17
2084.97,1164.59,-207.56,-315.34
2098.73,1074.9,-154.02,-224.35
2097.67,1013.96,-133.35,-227.55
2224.44,1132.78,-238.24,-314.78
2276.29,1146,-183.08,-283.57
2277.9,1163.32,-103.56,-245.3
2219.42,1046.96,-210.68,-341.15
2360,1182.53,-217.66,-326.8
2354.07,1188.3,-98.19,-260.51
2278.58,1123.88,-143.7,-291.53
2402.2,1208.49,-228.02,-345.16
2293.15,1210.13,-128.36,-272.17
2305.04,1197.29,-104.9,-265.32
2275.36,1219.75,-210.82,-345.14
2331.86,1233.35,-162.84,-294.65
2312.28,1165.69,-76.35,-243.11
2351.75,1204.74,-159.14,-252.98
2282.66,1244.82,-185.09,-339.58
2279.09,1200.44,-70.45,-300.08
2235.66,1116.29,-101.36,-291.12
2145.03,1072.15,-182.36,-329.53
2259.92,1127.93,-82.01,-284.21
2213.9,1089.52,-53.66,-258.76
2189.01,1072.91,-158.34,-316.7
2178.16,1065.48,-98.61,-286.63
2084.87,975.94,-18.76,-242.61
1996.08,870.69,-96.38,-310.74
2049.21,941.32,-101.33,-279.26
2014.94,873.43,20.5,-206.54
1851.37,705.75,-9.59,-243.91
1834.85,693.71,-86.18,-263.19
1873.98,686.6,20.74,-170.31
1721.2,507.42,78.22,-124.4
1619.39,395.26,-2.74,-211.78
1638.08,411.28,76.61,-121.78
1497.94,276.99,187.64,-69.62
1291.83,114.41,101.21,-137.36
1186.87,110.64,90.76,-99.59
1017.94,77.17,230.62,-17.24
741.23,-45.15,174.23,-65.07
595.5,-46.85,95.28,-92.78
480.54,-22.5,226.46,13.04
257.31,-132.35,283.55,10.84
93.04,-185,155.34,-31.92
32.82,-167.63,219.89,35.75
-110.23,-237.81,305.03,100.51
-263.09,-327.03,184.03,37
-281.98,-275.4,150.4,69.97
-326.23,-286.31,268.02,113.71
-471.21,-382.78,211.24,56.47
-525.49,-376.9,63.84,28.35
-525.95,-341.49,153.91,87.03
-621.19,-425.46,230.57,93.83
-675.3,-447.4,77.65,14.7
-640.09,-399.51,123.83,83.88
-699.34,-436.03,211.07,141.86
-804.45,-511.63,90.69,67.26
-768.98,-441.04,49.36,45.49
-764.89,-420.01,165.54,115.18
-854.36,-494.62,125.93,64.72
-846.14,-467.89,9.19,18.68
-808.61,-401.69,99.99,96.97
-874.88,-469.34,148.69,110.41
-904.04,-478.7,12.09,41.53
-853.92,-414.45,47.26,51.81
-883.73,-437.49,159.29,129.16
-947.33,-499.1,65.28,61.17
-898.02,-422.29,13.78,50.25
-882.27,-411.36,148.91,147.1
-961.49,-483.32,109.12,74.66
-957.51,-465.08,-1.06,7.64
-896.54,-382.43,91.71,88.41
-936.11,-433.39,138.19,105.51
-977.02,-462.99,-9.37,3.89
-914.87,-383.45,38.66,60.2
-950.76,-401.03,145.12,113.11
-976.89,-459.14,37.99,32.94
-914.74,-393.16,-15.71,19.58
-887.79,-373.92,119.27,111.65
-960.28,-448.79,81.54,66.49
-943.12,-414.15,-22.9,14.91
-877.9,-346.44,73.38,103.74
-929.46,-409.84,127.98,124.34
-963.7,-435.18,-7.08,26.17
-893.33,-356.9,18.38,55.03
-924.79,-399.12,115.13,104.06
-994.36,-472.23,15.83,20.57
-914.86,-388.12,-40.68,9.98
-858.69,-336.09,105.64,106.35
-927.71,-414.64,66.76,58.67
-920,-386.23,-46.2,8.01
-868.53,-325.83,47.3,75.03
-914.21,-404.02,98.17,89.42
-919.81,-416.22,-32.43,-14.01
-828.01,-308.58,5.67,40.57
-849.83,-332.8,105.83,94.29
-915,-402.49,5.77,-2.28
-879.11,-362,-44.31,-8.97
-826.26,-321.78,85.43,95.19
-871.65,-375.8,49.31,56.54
-859.5,-331.29,-61.54,-32.76
-798.1,-270.79,37.21,51.7
-843.85,-337.57,80.77,65.26
-874.22,-357.73,-53.39,-22.16
-795.5,-273.03,-14.05,29.42
-792.48,-300.13,91.41,79.84
-841.17,-357.54,-11.9,-2.31
-791.42,-285.18,-59.24,-16.2
-759.41,-266,69.86,76.24
-828.31,-332.27,38.81,27.52
-799.14,-304.07,-89.01,-37.36
-713.99,-230.46,25.76,43.13
-753.19,-288.42,74.52,49.79
-787.82,-308.72,-71.46,-44.55
-718.08,-235.86,-51.4,-9.76
-702.56,-244.74,82.9,62.88
-743.35,-288.25,-14.5,-6.94
-672.23,-202.13,-69.59,-25.13
-644.85,-173.77,58.29,51.49
-688.59,-222.95,25.57,3.7
-636.25,-174.17,-85.67,-39.66
-534.56,-78.69,14.23,64.89
-575.6,-126.89,69.77,81.35
-585.51,-147.78,-70.39,-27.63
-464.33,-34.72,-51.69,14
-440.53,8.12,77.08,84.13
-491.2,-52.55,-30.42,-6.26
-431.26,29.73,-90.33,-14.73
-409.88,38.48,49.74,73.65
-465.01,-41.95,16.8,29.43
-415.17,-2.45,-91.64,-45.47
-354.16,67.67,2.4,10.59
-420.45,-16.09,46.17,19.11
-478.03,-57.06,-78.61,-65.41
-422.85,9.04,-48.31,-20.87
-421.85,-26.67,61.84,43.03
-484.15,-93.94,-40.65,-24.98
-442.89,-38.22,-103.65,-32.38
-420.37,-31.71,41.72,20.11
-510.39,-120.24,8.86,-26.8
-520.66,-125.05,-102.74,-77.79
-463.26,-65.59,-8.48,4.03
-503.93,-142.08,40.46,19.25
-538.84,-159.34,-101.08,-68.29
-472.02,-90.76,-64.28,-21.61
-482.15,-107.65,57.71,35.2
-552.74,-193.07,-46.53,-52.08
-502.91,-127.24,-111.13,-60.15
-461.1,-123.75,23.65,28.37
-535.62,-209.1,-1.33,-21.59
-520.37,-165.03,-109.33,-87.63
-455.94,-88.1,-12.32,-10.29
-503.89,-154.89,41.34,11.95
-547.16,-193.53,-93.82,-73.67
-475.72,-124.24,-67.3,-24.31
-473.47,-146.72,56.36,14.21
-548.67,-219.75,-56.78,-67.06
-479.16,-153.45,-95.85,-65.28
-451.89,-142.55,36.03,13.85
-523.63,-211.5,-16.3,-34.12
-514.18,-187.98,-123.28,-102.89
-447.57,-122.65,-8.85,-11.01
-494.71,-201.04,50.16,12.42
-525.69,-227.77,-99.13,-85.16
-455.36,-147.94,-62.7,-41.23
-441.65,-150.82,56.44,23.41
-505.65,-213.41,-42.06,-51.26
-466.93,-150,-103.59,-65.76
-429.02,-129.51,31.55,26.32
-496.16,-217.51,-10.85,-28.56
-484.09,-194.01,-119.42,-78.44
-413.45,-130.37,-12.65,10.33
-461.47,-194.2,32.18,15.85
-497.42,-218.45,-103.86,-78.82
-430.8,-131.61,-65.31,-9.46
-437.23,-163.53,36.46,19.59
-486.38,-221.97,-47.79,-64.24
-432.96,-154.84,-100.92,-73.46
-391.4,-113.48,44.52,30.94
-479.98,-211.44,2.3,-29.63
-465.95,-194.45,-111.37,-87.03
-386.5,-128.27,-11.19,-1.8
-440.06,-191.9,45.06,6.85
-481.95,-212.93,-101.86,-96.5
-404.21,-128.97,-54.79,-40.63
-397.88,-154.8,54.8,23.14
-453.99,-220,-52.65,-55.35
-401.58,-159.5,-112.38,-76.12
-372.01,-131,34.13,20.81
-437.57,-205.08,-7.59,-29.59
-419.38,-170.79,-111.57,-70.68
-365.71,-113.56,-21,-11.85
-388.44,-170.51,44.08,18.84
-424.97,-187.89,-89.44,-75.99
-357.28,-128.82,-65.87,-33.39
-346.87,-144.11,54.05,30.16
-410.48,-202.28,-48.42,-42.82
-363.43,-131.75,-105.34,-69
-326.18,-105.94,17.48,10.23
-391,-183.79,-5.71,-28.5
-385.8,-164.88,-110.1,-93.22
-319.18,-97.53,-13.78,-13.92
-373.34,-170.59,30.35,-2.63
-385.57,-179.34,-93.77,-76.07
-330.72,-118.53,-76.69,-46.86
-340.54,-141.11,45.93,17.31
-382.77,-189.95,-51.03,-61.25
-321.18,-125.69,-104.34,-71.91
-282.64,-95.78,25.38,24.28
-358.03,-179.78,-8.01,-19.97
-344.44,-147.15,-111.45,-85
-282.34,-93.15,-16.41,-6.43
-339.6,-167.14,42.62,3.83
-369.17,-173.55,-97.15,-85.15
-292.22,-90.86,-61.92,-41.78
-313.49,-123.52,53.31,21.36
-365.46,-190.3,-46.43,-61.56
-294.2,-104.18,-106.92,-77.39
-270.59,-78.45,30.71,17.7
-322.48,-152.13,9.56,-30.51
-312.75,-138.24,-110.94,-96.15
-243.88,-72.42,-8.09,-11.52
-296.93,-137.3,39.93,0.63
-342.05,-160.48,-91.18,-92.48
-268.93,-84.57,-62.19,-36.17
-262.01,-97.42,55.51,30.37
-335.78,-179.72,-50.23,-88.84
-290.45,-111.66,-117.65,-94.55
-248.65,-77.31,10.48,-2.75
-310.72,-153.97,4.04,-37.82
-304.01,-131.04,-105.15,-91.39
-230.4,-55.69,-6.25,7.1
-266,-124.44,44.21,21.4
-313.14,-158.31,-86.15,-76.57
-249.66,-99,-68.08,-47.05
-253.39,-104.9,55.83,22.01
-326.84,-182.6,-52.53,-75.15
-281.46,-122.59,-102.27,-90.94
-236.32,-90.48,29.99,-2.42
-291.47,-141.84,3.93,-35.32
-296.31,-138.02,-119.31,-93.14
-225.64,-79.93,-20.14,-15.52
-260.55,-130.41,38.4,-17.9
-301.16,-151,-102.38,-113.79
-227.75,-75.62,-64.26,-57.24
-230.9,-99.73,46.52,5.2
-290.26,-168.24,-55.78,-72.64
-244.34,-102.17,-115.56,-86.19
-202.9,-85.35,34.94,11.3
-279.51,-160.79,-8.76,-39.4
-261.85,-132.43,-106.44,-88.96
-201.32,-57.18,-6.77,-13.39
-247.92,-125.56,43.99,1.67
-283.22,-151.96,-95.58,-105.85
-218.05,-85.62,-62.64,-64.31
-224.79,-98.69,50.13,10.11
-284.84,-162.83,-48.78,-68.33
-232.38,-84.12,-93.34,-73.07
-198.29,-67.37,39.06,16.59
-269.36,-152.28,-6.93,-27.58
